Model Name,MAE,MAPE,Training Time
Light GBM,1041.519,0.0171,9.06261920928955
ARIMA,1041.7832,0.0171,1.9209270477294922
XGBoost,1043.346,0.0171,4.598006010055542
Random Forest Regressor,1044.2989,0.0171,8.063525915145874
Ridge Regression,1047.4133,0.0172,0.026631832122802734
ARIMAX,1071.9431,0.0176,2.527575969696045
Baseline (Naive),1546.9,0.0255,4.38690185546875e-05
